canale,famiglia,classe_abc,data_doc,qta,prezzo_medio,sconti,fatturato,costo_unitario,margine,lead_time,rotazione_magazzino,giacenza_media,ritardo_consegna
B2B,Viteria,C,2025-06-21,103,2.54,0.135,226.3,1.63,58.41,9,2.32,19.94,-1
Retail,Assemblati,C,2025-05-04,47,34.34,0.109,1438.06,22.52,379.62,24,2.62,189.31,0
B2B,Viteria,B,2025-05-11,35,1.36,0.226,36.84,0.91,4.99,8,4.67,2.59,1
B2B,Lamiere,B,2025-10-28,301,12.14,0.163,3058.52,8.13,611.39,15,4.89,252.92,2
Estero,Torniti,C,2025-07-15,7,8.73,0.129,53.23,4.78,19.77,17,2.95,3.79,0
B2B,Assemblati,C,2025-10-15,16,20.84,0.18,273.42,15.31,28.46,22,2.31,43.28,-2
Estero,Torniti,C,2025-08-07,18,6.46,0.144,99.54,3.66,33.66,16,7.43,4.42,-4
B2B,Assemblati,A,2025-04-06,60,19.18,0.236,879.21,13.65,60.21,24,16.92,15.24,-3
Retail,Viteria,C,2026-01-03,9,1.51,0.148,11.58,0.91,3.39,9,3.86,0.71,-2
Estero,Torniti,C,2025-07-14,53,7.12,0.128,329.06,4.02,116.0,13,3.46,15.01,1
B2B,Assemblati,C,2025-11-23,44,12.49,0.158,462.73,8.4,93.13,22,6.63,27.34,-3
Estero,Lamiere,B,2025-02-26,55,14.99,0.203,657.09,10.67,70.24,13,10.59,11.31,-4
Retail,Lamiere,A,2025-11-28,54,11.35,0.21,484.19,7.87,59.21,16,7.72,16.51,1
Retail,Assemblati,B,2025-10-10,114,23.44,0.166,2228.58,17.12,276.9,20,6.54,101.84,5
B2B,Viteria,B,2025-04-23,23,1.95,0.172,37.14,1.18,10.0,13,5.63,1.64,3
B2B,Lamiere,B,2025-11-07,42,12.23,0.215,403.22,8.34,52.94,22,5.46,25.75,-4
Retail,Assemblati,C,2025-10-20,12,19.21,0.103,206.78,13.27,47.54,23,3.3,15.57,2
B2B,Assemblati,A,2025-12-14,9,17.08,0.225,119.13,11.78,13.11,19,9.7,3.74,3
B2B,Assemblati,C,2025-04-08,143,24.18,0.154,2925.25,19.06,199.67,19,3.77,138.55,-1
B2B,Assemblati,B,2025-12-11,11,16.19,0.194,143.54,12.23,9.01,19,6.47,6.22,0
Estero,Viteria,C,2025-10-27,47,1.99,0.167,77.91,1.19,21.98,17,5.79,4.37,1
B2B,Assemblati,B,2025-05-25,42,15.66,0.198,527.49,10.34,93.21,19,4.52,47.68,2
Retail,Lamiere,C,2025-05-29,79,19.36,0.084,1400.97,11.85,464.82,15,4.91,58.34,1
Estero,Torniti,C,2025-04-24,5,7.29,0.11,32.44,4.19,11.49,15,2.4,3.4,2
B2B,Lamiere,C,2025-07-15,60,9.91,0.149,506.0,6.78,99.2,14,3.8,30.33,1
B2B,Assemblati,A,2025-12-15,23,18.03,0.213,326.36,13.07,25.75,23,14.41,4.43,0
Retail,Torniti,B,2025-11-23,13,7.65,0.126,86.92,4.64,26.6,12,7.32,3.15,-1
B2B,Assemblati,C,2025-03-16,19,25.5,0.145,414.25,18.7,58.95,15,3.13,55.92,-2
Retail,Viteria,A,2025-03-10,69,2.23,0.182,125.87,1.29,36.86,2,11.05,2.98,-3
Retail,Viteria,C,2025-02-12,51,1.59,0.115,71.76,1.08,16.68,7,6.24,2.66,1
Retail,Lamiere,A,2025-09-03,22,16.99,0.175,308.37,11.42,57.13,16,8.13,16.59,-2
B2B,Viteria,A,2025-05-16,8,2.81,0.191,18.19,1.78,3.95,7,12.19,0.54,2
Retail,Torniti,C,2025-10-26,8,10.96,0.066,81.89,6.29,31.57,14,4.91,4.35,-2
Retail,Viteria,C,2025-10-26,52,1.71,0.1,80.03,1.08,23.87,2,3.06,9.8,-1
B2B,Torniti,C,2025-04-04,7,6.08,0.138,36.69,4.15,7.64,12,6.42,1.95,2
Retail,Viteria,B,2025-10-02,22,2.23,0.115,43.42,1.29,15.04,8,12.4,1.42,0
Estero,Viteria,C,2025-10-28,358,,0.169,586.07,1.13,181.53,10,5.13,20.94,-5
Retail,Torniti,C,2026-01-17,39,8.94,0.117,307.87,5.05,110.92,13,5.14,18.69,0
B2B,Viteria,B,2025-10-12,52,1.65,0.189,69.58,1.0,17.58,5,3.28,7.65,-3
B2B,Viteria,B,2025-06-02,8,1.43,0.195,9.21,0.86,2.33,6,3.78,1.09,-4
B2B,Viteria,B,2026-01-21,7,2.28,0.185,13.01,1.32,3.77,3,5.83,0.74,-1
B2B,Viteria,C,2025-05-02,54,1.36,0.125,64.26,0.84,18.9,2,2.78,4.44,-5
B2B,Torniti,B,2025-11-11,18,5.32,0.211,75.55,3.52,12.19,13,7.47,4.46,0
Estero,Viteria,C,2025-06-09,79,1.49,0.147,100.41,0.91,28.52,13,1.29,22.39,4
B2B,Lamiere,B,2025-12-29,28,13.98,0.15,332.72,9.45,68.12,18,7.45,13.24,1
Retail,Torniti,C,2025-11-03,860,8.34,0.105,6419.3,5.12,2016.1,15,3.29,440.85,0
B2B,Lamiere,C,2025-08-28,15,14.97,0.157,189.3,10.57,30.75,17,2.9,25.72,0
B2B,Torniti,B,2025-04-10,36,5.34,0.184,156.87,3.5,30.87,8,11.69,4.14,2
B2B,Viteria,B,2025-03-31,11,1.32,0.232,11.15,0.83,2.02,9,5.39,0.91,-1
B2B,Assemblati,B,2026-01-02,76,16.11,0.23,942.76,11.6,61.16,19,3.41,84.52,-1
Retail,Lamiere,B,2025-11-10,42,14.33,0.132,522.41,9.18,136.85,16,7.04,15.15,-2
Estero,Viteria,B,2025-07-28,10,2.09,0.166,17.43,1.36,3.83,5,6.86,0.97,-3
Estero,Assemblati,C,2025-12-08,20,13.0,0.123,228.02,8.92,49.62,25,3.29,13.47,4
B2B,Torniti,B,2025-11-03,107,7.33,0.178,644.7,4.14,201.72,16,13.66,11.09,-1
Retail,Torniti,A,2025-06-12,95,6.5,0.172,511.29,3.95,136.04,14,10.76,20.52,1
B2B,Assemblati,B,2025-11-19,7,15.31,0.2,85.74,11.97,1.95,21,8.56,4.44,2
Estero,Viteria,B,2025-11-08,17,2.66,0.209,35.77,1.73,6.36,12,6.72,2.04,-3
B2B,Assemblati,C,2025-07-15,168,10.43,0.181,1435.08,7.49,176.76,21,5.46,55.74,-1
B2B,Torniti,B,2025-01-29,23,7.05,0.206,128.75,3.95,37.9,13,5.34,8.98,1
B2B,Lamiere,B,2025-10-19,33,13.0,0.142,368.08,9.63,50.29,20,4.14,29.18,1
B2B,Viteria,B,2025-05-25,76,1.47,0.153,94.63,0.91,25.47,6,7.84,3.43,-1
B2B,Viteria,C,2025-06-04,7,1.61,0.171,9.34,0.98,2.48,6,3.89,0.68,0
Estero,Assemblati,C,2025-10-09,11,26.87,0.162,247.69,19.94,28.35,21,4.62,15.33,3
Retail,Viteria,A,2025-11-13,20,3.68,0.201,58.81,2.22,14.41,8,8.06,1.8,-1
Estero,Viteria,C,2025-02-23,90,2.58,0.124,203.41,1.52,66.61,11,4.14,15.3,-2
B2B,Torniti,C,2025-11-18,75,10.42,0.177,643.17,5.98,194.67,10,2.0,51.76,0
Retail,Torniti,C,2025-05-08,56,6.84,0.115,338.99,3.92,119.47,14,2.96,46.33,-2
B2B,Viteria,B,2025-08-16,24,1.21,0.213,22.85,0.7,6.05,8,4.69,2.04,0
B2B,Assemblati,C,2025-12-05,84,17.76,0.113,1323.26,11.91,322.82,20,4.16,85.01,1
B2B,Lamiere,C,2025-04-11,23,14.67,0.157,284.44,10.55,41.79,21,2.95,41.9,-1
B2B,Assemblati,B,2025-04-12,48,11.32,0.225,421.1,8.45,15.5,21,3.71,43.45,0
Retail,Viteria,A,2026-01-11,67,1.78,0.201,95.29,1.05,24.94,1,8.2,4.7,-2
B2B,Viteria,B,2025-06-07,148,1.47,0.209,172.09,0.96,30.01,11,7.4,9.71,1
B2B,Torniti,A,2026-01-02,26,7.11,0.241,140.31,4.35,27.21,11,10.47,3.38,-3
Retail,Viteria,B,2025-06-01,19,2.38,0.142,38.8,1.44,11.44,15,4.62,3.31,-2
B2B,Lamiere,C,2025-09-05,99,9.89,0.178,804.83,6.24,187.07,16,4.69,33.21,-1
Estero,Viteria,C,2025-07-27,107,2.07,0.117,195.58,1.31,55.41,6,6.05,14.32,0
B2B,Torniti,A,2026-01-16,16,4.88,0.225,60.51,3.29,7.87,19,13.74,1.45,2
Retail,Assemblati,A,2025-08-10,9,20.22,0.18,149.22,14.57,18.09,20,4.46,11.99,1
Retail,Assemblati,C,2025-07-24,92,16.4,0.1,1357.92,12.46,211.6,21,3.8,86.45,3
Retail,Assemblati,B,2025-07-11,5,21.67,0.108,96.65,15.42,19.55,21,5.71,2.7,4
Retail,Assemblati,A,2025-06-08,5,18.42,0.205,73.22,13.94,3.52,16,4.9,2.97,1
Estero,Lamiere,C,2025-07-01,21,15.69,0.127,287.64,10.57,65.67,15,2.23,24.85,-2
Retail,Lamiere,B,2025-07-09,27,14.9,0.157,339.14,8.7,104.24,22,7.94,12.08,1
B2B,Assemblati,A,2025-10-27,8,17.01,0.198,109.14,11.76,15.06,17,10.67,2.43,-3
B2B,Assemblati,C,2025-02-07,31,28.01,0.167,723.3,20.32,93.38,27,3.6,87.06,3
Retail,Assemblati,C,2025-07-23,32,24.76,0.127,691.7,18.9,86.9,21,2.79,99.78,0
B2B,Torniti,B,2025-08-10,15,5.93,0.199,71.25,3.52,18.45,14,8.76,2.54,0
B2B,Viteria,C,2025-10-23,187,1.56,0.151,247.67,0.97,66.28,6,2.28,44.07,-1
B2B,Assemblati,C,2025-09-22,38,13.4,0.167,424.16,9.33,69.62,29,2.57,53.73,1
B2B,Assemblati,A,2025-06-28,76,17.71,0.265,989.28,13.86,-64.08,20,8.95,47.09,1
B2B,Torniti,C,2025-03-02,6,7.02,0.16,35.38,4.63,7.6,12,2.05,6.45,-1
Retail,Assemblati,B,2025-06-06,6,13.94,0.152,70.93,9.66,12.97,22,4.41,5.96,-1
Retail,Torniti,B,2025-04-25,39,5.78,0.173,186.42,3.12,64.74,10,8.7,4.98,-3
Retail,Assemblati,B,2025-04-06,157,19.78,0.155,2624.11,12.81,612.94,17,4.46,228.49,1
B2B,Viteria,B,2025-10-12,9,1.37,0.174,10.18,0.88,2.26,8,7.89,0.49,-4
B2B,Assemblati,A,2025-07-15,28,18.2,0.265,374.56,13.2,4.96,24,12.49,5.23,6
Retail,Viteria,C,2025-11-07,7,2.35,0.098,14.84,1.38,5.18,11,3.3,0.75,3
B2B,Viteria,B,2025-03-13,12,1.75,0.191,16.99,1.1,3.79,14,3.65,1.93,-4
Retail,Viteria,C,2026-01-16,30,2.58,0.102,69.51,1.47,25.41,1,3.58,8.61,0
B2B,Lamiere,B,2025-07-13,15,10.37,0.209,123.04,7.38,12.34,21,2.87,14.21,4
Estero,Viteria,C,2025-04-24,7,1.96,0.165,11.46,1.19,3.13,9,2.91,0.79,-2
B2B,Assemblati,B,2025-06-03,7,14.01,0.19,79.44,9.48,13.08,19,6.53,3.36,1
Retail,Torniti,B,2025-11-25,4,8.72,0.175,28.78,5.1,8.38,10,8.13,0.55,-1
Retail,Assemblati,C,2025-10-08,40,22.93,0.103,822.73,16.14,177.13,18,3.32,98.26,2
B2B,Viteria,C,2025-03-25,45,1.33,0.178,49.2,0.84,11.4,5,2.83,3.15,-2
Retail,Viteria,B,2026-01-18,44,,0.144,81.35,1.44,17.99,1,4.72,4.32,1
B2B,Torniti,B,2025-03-10,10,6.44,0.18,52.81,4.15,11.31,18,5.09,3.31,0
Retail,Torniti,C,2025-05-02,67,8.72,0.138,503.61,5.29,149.18,15,4.35,41.61,-1
Retail,Lamiere,C,2025-10-15,50,16.24,0.088,740.54,10.92,194.54,16,3.96,78.94,2
B2B,Assemblati,B,2025-08-03,25,15.03,0.177,309.24,10.48,47.24,19,5.95,14.37,3
B2B,Assemblati,C,2025-07-03,21,21.79,0.125,400.39,14.15,103.24,26,4.36,19.04,-4
Retail,Torniti,B,2025-12-26,13,9.26,0.165,100.52,5.55,28.37,12,6.0,3.06,-8
B2B,Assemblati,B,2025-11-07,30,15.02,0.22,351.47,10.3,42.47,20,3.76,32.49,2
Estero,Torniti,C,2026-01-08,124,5.37,0.137,574.65,3.48,143.13,13,2.37,45.74,-2
Retail,Torniti,C,2025-05-05,77,6.91,0.08,489.5,4.09,174.57,13,4.32,39.37,-3
Retail,Lamiere,B,2025-11-28,19,10.38,0.14,169.61,7.37,29.58,15,3.71,13.11,-1
B2B,Viteria,B,2025-04-09,42,1.9,0.184,65.12,1.14,17.24,9,5.25,3.41,7
Retail,Viteria,A,2025-11-12,8,3.02,0.169,20.08,1.79,5.76,6,9.61,0.48,-4
Estero,Torniti,C,2025-08-10,51,10.2,0.12,457.78,6.37,132.91,20,2.44,78.9,3
B2B,Torniti,B,2025-08-28,11,4.95,0.2,43.56,3.02,10.34,14,3.35,4.74,-2
B2B,Viteria,B,2025-03-05,49,2.19,0.178,88.21,1.39,20.1,7,3.98,6.81,-4
B2B,Torniti,B,2025-12-08,478,6.64,0.196,2551.83,3.96,658.95,16,3.18,222.39,-1
B2B,Viteria,C,2025-05-03,14,0.99,0.114,12.28,0.65,3.18,11,4.34,0.73,-4
Retail,Viteria,B,2025-08-28,456,2.07,0.174,779.68,1.34,168.64,10,6.9,30.48,-4
B2B,Assemblati,C,2025-03-23,40,16.11,0.142,552.9,10.2,144.9,18,2.68,83.78,-1
Retail,Lamiere,A,2025-12-25,12,20.3,0.207,193.17,13.59,30.09,19,6.2,8.61,-2
B2B,Viteria,A,2025-05-18,11,1.45,0.244,12.06,0.96,1.5,3,15.04,0.12,-2
B2B,Lamiere,A,2025-10-27,261,13.81,0.248,2710.52,8.83,405.89,21,11.67,99.17,1
B2B,Lamiere,B,2025-10-28,40,11.68,0.167,389.18,7.15,103.18,16,4.83,26.42,-2
Estero,Torniti,B,2025-08-10,14,4.98,0.155,58.91,2.96,17.47,20,9.09,1.29,2
Retail,Assemblati,B,2025-03-07,20,19.6,0.125,343.0,14.52,52.6,24,6.3,10.23,0
B2B,Torniti,B,2025-05-04,38,9.53,0.191,292.97,5.54,82.45,15,6.71,11.48,0
Retail,Torniti,A,2025-09-02,24,7.78,0.217,146.2,5.07,24.52,12,6.94,7.03,-6
B2B,Lamiere,B,2025-08-05,35,15.05,0.199,421.93,11.34,25.03,18,3.53,51.61,1
B2B,Torniti,A,2025-08-23,145,8.04,0.222,906.99,4.2,297.99,13,5.77,26.15,6
B2B,Viteria,A,2025-04-23,8,1.61,0.242,9.76,0.97,2.0,0,20.73,0.12,0
Estero,Viteria,A,2025-08-06,47,1.44,0.218,52.93,0.76,17.21,12,7.49,1.61,-1
Retail,Assemblati,C,2025-02-22,23,16.87,0.093,351.93,12.59,62.36,13,3.58,27.17,-3
Retail,Lamiere,C,2025-07-17,15,21.56,0.1,291.06,14.07,80.01,19,4.11,27.45,5
B2B,Lamiere,C,2025-02-24,72,12.46,0.165,749.1,8.24,155.82,20,3.47,42.65,0
B2B,Viteria,A,2025-09-21,6,1.17,0.226,5.43,0.78,0.75,8,9.47,0.25,-2
Retail,Assemblati,C,2025-08-16,2,27.72,0.093,50.28,18.49,13.3,18,3.29,3.47,-1
B2B,Viteria,C,2025-11-28,31,1.15,0.17,29.59,0.64,9.75,5,4.14,2.69,4
Estero,Lamiere,B,2025-07-09,21,10.74,0.179,185.17,6.32,52.45,90,4.17,15.18,9
Retail,Assemblati,A,2025-03-22,6,22.96,0.216,108.0,17.7,1.8,21,8.57,3.96,2
B2B,Lamiere,C,2025-04-17,4,22.53,0.179,73.99,16.26,8.95,12,1.56,19.12,-1
Retail,Assemblati,C,2025-11-15,169,27.59,0.073,4322.33,19.54,1020.07,21,1.82,788.82,1
Estero,Viteria,C,2026-01-06,39,1.76,0.136,59.3,1.0,20.3,12,2.22,10.28,-1
B2B,Torniti,C,2025-02-13,25,6.55,0.14,140.82,4.15,37.07,18,4.72,9.75,4
Retail,Assemblati,C,2025-09-25,220,28.32,0.076,5756.89,23.51,584.69,22,3.18,662.84,1
Estero,Lamiere,C,2025-07-16,68,18.83,0.114,1134.47,12.63,275.63,20,4.47,41.69,-3
B2B,Torniti,A,2025-04-26,144,6.11,0.234,673.96,3.37,188.68,9,11.44,20.24,0
Estero,Lamiere,A,2025-07-27,8,12.5,0.214,78.6,9.12,5.64,20,10.95,2.99,0
B2B,Torniti,C,2025-12-29,7,5.28,0.138,31.86,2.93,11.35,18,2.52,4.36,1
Retail,Assemblati,A,2025-04-04,45,26.57,0.19,968.48,18.74,125.18,21,10.27,37.29,0
Retail,Torniti,B,2025-11-23,37,10.5,0.189,315.07,5.19,123.04,14,6.56,21.48,-1
Retail,Assemblati,B,2025-02-23,86,13.86,0.105,1066.8,9.81,223.14,18,12.96,16.21,3
B2B,Torniti,B,2025-10-12,5,5.89,0.213,23.18,3.23,7.03,15,5.32,1.55,5
Retail,Torniti,A,2025-02-18,50,6.0,0.19,243.0,3.9,48.0,7,12.92,7.88,-5
B2B,Viteria,C,2025-02-13,66,1.87,0.141,106.02,1.09,34.08,11,3.35,5.02,0
B2B,Torniti,B,2025-02-04,63,4.77,0.15,255.43,3.01,65.8,11,4.69,11.01,-2
B2B,Assemblati,C,2025-11-11,16,12.94,0.165,172.88,9.26,24.72,16,4.75,8.19,-2
Retail,Torniti,B,2025-08-19,41,10.76,0.111,392.19,6.51,125.28,19,11.63,13.96,-5
B2B,Viteria,C,2025-09-30,11,1.73,0.167,15.85,1.11,3.64,8,3.84,1.83,0
B2B,Lamiere,C,2025-03-19,18,11.82,0.185,173.4,8.01,29.22,18,2.76,26.64,-1
Estero,Torniti,C,2025-12-24,9,7.96,0.104,64.19,4.57,23.06,12,4.12,4.55,-2
B2B,Assemblati,B,2025-11-13,11,22.94,0.213,198.59,15.77,25.12,24,6.62,10.51,4
B2B,Viteria,A,2025-07-19,19,1.62,0.241,23.36,1.04,3.6,11,21.72,0.19,-1
B2B,Viteria,C,2025-12-16,15,1.63,0.108,21.81,0.89,8.46,7,4.54,2.13,-2
B2B,Lamiere,C,2025-03-15,11,10.88,0.126,104.6,8.13,15.17,21,2.52,17.98,-2
Retail,Viteria,A,2025-05-08,7,2.95,0.194,16.64,1.84,3.76,10,15.62,0.35,-3
B2B,Assemblati,C,2025-02-08,174,17.7,0.158,2593.19,12.51,416.45,24,4.59,109.0,5
B2B,Lamiere,C,2025-03-23,15,11.16,0.118,147.65,7.71,32.0,12,4.86,13.19,1
Estero,Lamiere,A,2025-11-25,34,14.56,0.221,385.64,9.55,60.94,19,11.68,13.83,4
Retail,Viteria,C,2025-06-20,4,3.56,0.116,12.59,2.18,3.87,11,4.98,1.13,-2
Retail,Lamiere,B,2025-09-14,95,15.28,0.16,1219.34,9.7,297.84,16,7.0,52.67,1
Estero,Assemblati,A,2025-12-09,29,18.51,0.212,422.99,13.6,28.59,26,9.15,11.76,4
Estero,Lamiere,C,2025-10-27,16,21.46,0.139,295.63,14.53,63.15,20,3.67,21.2,2
B2B,Viteria,B,2025-06-16,16,2.51,0.211,31.69,1.58,6.41,6,5.76,1.65,3
Retail,Viteria,C,2025-05-29,59,3.03,0.117,157.85,2.06,36.31,10,3.94,16.97,1
Retail,Assemblati,C,2025-03-02,1,19.85,0.118,17.51,13.65,3.86,24,3.6,0.92,1
B2B,Assemblati,C,2025-11-20,11,15.49,0.152,144.49,11.07,22.72,24,3.14,15.86,-5
B2B,Viteria,B,2026-01-16,22,1.14,0.188,20.36,0.63,6.5,10,5.63,1.54,1
B2B,Torniti,B,2025-07-23,22,8.27,0.195,146.46,5.14,33.38,16,5.99,5.68,2
Retail,Viteria,B,2025-07-23,300,2.29,0.125,601.12,1.42,175.12,6,3.22,57.42,2
Retail,Torniti,C,2025-11-27,18,5.18,0.122,81.86,3.11,25.88,8,5.01,6.35,-3
Retail,Viteria,B,2025-05-26,66,3.04,0.109,178.77,1.87,55.35,2,6.78,8.03,-2
B2B,Assemblati,C,2025-06-19,150,16.54,0.14,2133.66,11.53,404.16,26,2.83,232.4,-3
B2B,Assemblati,B,2025-12-14,48,17.06,0.189,664.11,13.99,-7.41,22,7.38,34.19,-3
B2B,Viteria,A,2025-06-09,13,1.23,0.249,12.01,0.76,2.13,9,8.37,0.29,1
B2B,Lamiere,C,2025-12-26,7,13.57,0.163,79.51,9.39,13.78,19,2.93,9.89,4
Estero,Viteria,C,2025-03-21,52,2.24,0.16,97.84,1.29,30.76,13,3.99,10.4,3
Estero,Viteria,B,2025-07-22,127,1.96,0.172,206.11,1.28,43.55,13,9.9,3.76,1
Estero,Viteria,C,2025-07-19,42,1.78,0.116,66.09,1.09,20.31,14,3.86,2.88,5
Estero,Viteria,B,2025-05-13,84,3.82,0.167,267.29,2.44,62.33,10,4.57,10.31,-1
Estero,Assemblati,C,2026-01-08,328,14.66,0.124,4212.23,11.08,577.99,30,3.09,505.22,4
B2B,Viteria,B,2025-07-17,57,1.5,0.2,68.4,0.92,15.96,6,8.08,2.26,-4
B2B,Assemblati,B,2025-12-08,8,21.49,0.169,142.87,14.89,23.75,23,6.91,5.98,-7
B2B,Viteria,A,2025-04-12,26,1.4,0.236,27.81,0.74,8.57,4,13.99,0.73,-2
B2B,Lamiere,A,2025-05-29,97,9.14,0.272,645.43,6.07,56.64,18,11.48,17.26,0
B2B,Lamiere,C,2025-07-15,19,15.92,0.154,255.9,10.39,58.49,16,4.58,18.44,1
B2B,Assemblati,B,2025-08-15,111,20.94,0.169,1931.53,14.12,364.21,22,12.14,64.47,0
Estero,Viteria,A,2025-04-15,23,2.23,0.213,40.37,1.51,5.64,14,6.23,1.85,1
B2B,Viteria,A,2025-05-16,34,1.88,0.195,51.46,1.24,9.3,8,23.22,0.91,4
Estero,Torniti,B,2025-09-06,17,6.01,0.169,84.9,3.17,31.01,24,8.33,3.13,3
Retail,Torniti,C,2025-05-03,29,7.63,0.133,191.84,4.62,57.86,14,8.77,5.92,-2
Retail,Torniti,B,2025-10-26,30,7.97,0.116,211.36,4.52,75.76,11,4.25,11.35,-7
Retail,Viteria,C,2025-07-15,5,2.78,0.071,12.91,1.76,4.11,6,4.0,1.19,-4
B2B,Viteria,C,2026-01-10,16,2.0,0.137,27.62,1.18,8.74,9,3.7,2.51,3
Retail,Assemblati,B,2025-04-18,7,17.84,0.158,105.15,12.46,17.93,22,8.17,5.05,0
B2B,Torniti,C,2025-11-25,16,7.92,0.184,103.4,5.06,22.44,10,4.13,7.86,1
Estero,Torniti,A,2025-07-19,11,4.7,0.229,39.86,2.97,7.19,20,11.33,1.44,2
B2B,Viteria,B,2025-02-22,67,1.66,0.164,92.98,1.13,17.27,4,7.88,2.79,-1
B2B,Viteria,A,2025-10-06,68,1.35,0.24,69.77,0.83,13.33,10,9.63,2.67,-1
Retail,Assemblati,A,2025-04-09,43,18.16,0.226,604.4,12.02,87.54,23,8.35,19.4,-1
Retail,Torniti,A,2025-03-13,7,13.15,0.184,75.11,8.37,16.52,13,11.72,1.18,5
B2B,Viteria,A,2025-08-04,22,1.25,0.243,20.82,0.82,2.78,1,8.34,0.77,-4
Retail,Assemblati,C,2025-11-04,6,18.33,0.105,98.43,13.66,16.47,15,3.35,6.45,3
B2B,Torniti,B,2025-04-26,21,7.38,0.159,130.34,4.21,41.93,16,3.62,6.07,2
Retail,Viteria,C,2025-09-06,47,2.0,0.12,82.72,1.15,28.67,1,3.57,6.0,0
B2B,Lamiere,B,2025-01-27,66,12.48,0.207,653.18,8.75,75.68,20,4.34,66.71,0
B2B,Torniti,C,2025-03-30,39,9.29,0.11,322.46,5.24,118.1,17,3.46,38.98,-3
B2B,Lamiere,A,2025-10-24,86,14.13,0.213,956.35,9.43,145.37,21,6.84,62.07,-2
B2B,Torniti,B,2025-01-26,32,5.78,0.171,153.33,4.14,20.85,13,5.96,4.08,-2
B2B,Torniti,B,2025-06-01,19,6.29,0.205,95.01,4.31,13.12,15,8.22,2.26,1
B2B,Viteria,C,2025-07-26,59,2.06,0.135,105.13,1.34,26.07,9,2.84,8.16,2
B2B,Assemblati,C,2025-02-15,61,21.1,0.158,1083.74,14.63,191.31,18,2.52,159.56,1
B2B,Lamiere,A,2026-01-14,15,12.06,0.236,138.21,7.85,20.46,20,13.15,4.66,1
B2B,Lamiere,C,2025-07-26,36,13.13,0.151,401.31,9.3,66.51,22,4.82,22.64,4
B2B,Torniti,C,2025-05-25,18,7.11,0.16,107.5,4.69,23.08,16,4.06,8.61,-5
Retail,Torniti,C,2026-01-13,3,7.94,0.105,21.32,4.6,7.52,10,2.97,1.27,-6
Estero,Lamiere,A,2025-08-13,38,,0.22,336.41,7.51,51.03,24,8.02,14.21,-3
B2B,Torniti,C,2025-09-26,7,7.83,0.157,46.2,4.73,13.09,18,3.12,6.22,3
Estero,Assemblati,C,2025-02-23,34,21.3,0.134,627.16,14.15,146.06,29,3.43,63.59,-3
B2B,Assemblati,B,2025-03-20,5,10.7,0.186,43.55,7.12,7.95,25,3.28,4.59,1
B2B,Assemblati,B,2025-02-07,12,14.64,0.181,143.88,9.85,25.68,17,4.25,10.03,-2
Retail,Viteria,A,2025-07-28,16,2.0,0.228,24.7,1.28,4.22,7,15.49,0.45,0
Retail,Lamiere,C,2025-11-23,82,14.26,0.091,1062.91,9.85,255.21,18,3.76,73.77,0
Retail,Torniti,A,2025-12-17,14,10.98,0.217,120.36,7.09,21.1,15,15.36,3.1,1
B2B,Viteria,B,2025-08-19,8,4.01,0.176,26.43,2.21,8.75,10,8.56,1.06,-1
Retail,Torniti,B,2025-02-10,35,4.39,0.156,129.68,2.37,46.73,17,5.38,5.78,2
B2B,Viteria,C,2025-09-07,20,1.94,0.186,31.58,1.24,6.78,3,3.15,3.06,2
B2B,Viteria,C,2025-09-11,54,1.83,0.143,84.69,1.07,26.91,10,4.91,3.19,3
B2B,Viteria,A,2025-08-27,9,1.72,0.227,11.97,1.01,2.88,9,13.04,0.15,-2
Estero,Viteria,A,2025-08-13,30,2.27,0.211,53.73,1.5,8.73,15,14.13,0.73,-2
B2B,Viteria,C,2025-10-05,290,1.87,0.15,460.96,1.12,136.16,13,3.48,54.34,0
Retail,Torniti,B,2025-07-18,19,7.42,0.146,120.4,4.32,38.32,9,6.31,4.33,4
Retail,Torniti,A,2025-03-17,30,8.18,0.189,199.02,4.83,54.12,17,9.14,9.56,0
Retail,Viteria,C,2025-02-20,5,2.59,0.092,11.76,1.59,3.81,8,3.44,0.86,1
Retail,Viteria,A,2025-12-19,10,2.53,0.229,19.51,1.64,3.11,5,7.87,0.68,1
Estero,Assemblati,B,2025-07-01,39,20.76,0.166,675.24,13.94,131.58,23,5.84,45.51,3
B2B,Viteria,B,2025-05-19,18,1.56,0.178,23.08,0.96,5.8,9,5.67,0.88,3
B2B,Lamiere,C,2025-05-09,45,24.28,0.167,910.14,17.64,116.34,19,2.98,129.14,-3
Retail,Lamiere,C,2025-02-09,38,16.41,0.117,550.62,12.56,73.34,17,4.62,41.24,-2
B2B,Torniti,B,2026-01-01,7,7.86,0.218,43.03,4.29,13.0,12,3.66,1.98,0
B2B,Assemblati,C,2025-02-21,68,15.85,0.189,874.1,11.62,83.94,24,3.94,96.95,4
B2B,Torniti,C,2025-04-11,7,6.82,0.157,40.24,4.04,11.96,13,2.53,3.76,3
B2B,Assemblati,C,2025-07-08,11,18.84,0.144,177.4,13.49,29.01,26,2.6,14.98,1
B2B,Assemblati,B,2025-06-01,31,11.16,0.152,293.37,7.68,55.29,27,4.6,26.75,4
B2B,Viteria,B,2025-02-05,118,1.5,0.171,146.73,0.98,31.09,6,7.07,5.14,-2
Estero,Viteria,C,2025-05-22,9,1.65,0.134,12.86,1.07,3.23,12,1.59,2.97,-2
